-0.62981, 50.98982, The Horse Guards Inn, GB-Tilllington, +44 1798 342332
-0.99378, 51.86405, The Crooked Billet, GB-Ham Green, +44 1296 770239
-3.66330, 50.40181, The Durant Arms, GB-Ashprington, +44 1803 732240
-2.82295, 50.72290, The Anchor Inn, GB-Seatown, +44 1297 489215
-2.40765, 50.81802, The Brace of Pheasants, GB-Plush, +44 1300 348357
-0.88779, 53.13240, The Caunton Beck, GB-Caunton, +44 1636 636793
-0.96454, 52.89067, The Martin Arms, GB-Colston Bassett, +44 1949 81361
-0.36432, 52.78899, The Wishing Well, GB-Dyke, +44 1778 422970
-2.58796, 51.19678, The Bull Terrier, GB-Croscombe, +44 1749 343658
-1.67575, 53.21322, The Rutland Arms Hotel, GB-Bakewell, +44 1629 812812
0.13910, 52.20241, The Cambridge Blue, GB-Cambridge, +44 1223 361382
0.56610, 52.01091, The White Hart, GB-Great Yeldham, +44 1787 237250
-2.26518, 51.92405, The Queens Arms, GB-Ashleworth, +44 1452 700395
-1.78444, 52.16809, The Bell Inn, GB-Welford, +44 1789 750353
-0.59091, 51.28268, The Jolly Farmer, GB-Worplesdon, +44 1483 234658
-0.89068, 52.24413, The Windmill, GB-Badby, +44 1327 702363
0.08564, 50.84700, The Ram, GB-Firle, +44 1273 858222
-3.67383, 50.39622, The Watermans Arms, GB-Ashprington, +44 1803 732214
-2.60647, 50.83858, The Acorn Inn, GB-Evershot, +44 1935 83228
-2.09896, 51.58487, The Old Bell Hotel, GB-Malmesbury, +44 1666 822344
0.38073, 51.22353, The Bush Blackbird and Thrush, GB-East Peckham, +44 1622 871349
0.89854, 52.93733, The Three Horseshoes, GB-Warham, +44 1328 710547
-2.55460, 51.35579, The Carpenters Arms, GB-Stanton Wick, +44 1761 490202
0.11571, 52.20165, The Anchor, GB-Cambridge, +44 1223 353554
0.63713, 52.17118, The Plough Inn, GB-Rede, +44 1284 789208
-2.74838, 50.88211, The Manor Arms Hotel, GB-North Perrott, +44 1460 74055
0.40595, 51.52415, The Bell Inn, GB-Hordon on the Hill, +44 1375 642463
-0.90916, 52.52582, The Bakers Arms, GB-Thorpe Langton, +44 1858 545201
-5.17414, 50.11043, Trengilly Wartha, GB-Constantine, +44 1326 340332
-2.33615, 53.17529, The Bears Head Hotel, GB-Brereton, +44 1477 544732
-2.65289, 50.90866, The Helyar Arms, GB-East Coker, +44 1935 862332
-0.11232, 51.85746, The George and Dragon, GB-Watton on Stone, +44 1920 830285
1.13800, 52.34452, The Cornwallis Arms, GB-Brome, +44 1379 870326
-1.14313, 54.12659, The Durham Ox, GB-Crayke, +44 1347 821506
0.53425, 51.81617, The Square and Compasses, GB-Fairstead, +44 1245 361477
-1.13001, 51.68064, The Crazy Bear, GB-Stadhampton, +44 1865 890714
-2.28626, 51.26518, The Woolpack Inn, GB-Beckington, +44 1373 831244
-2.12276, 51.27091, The Duke of Bratton, GB-Bratton, +44 1380 830242
-2.40230, 52.59997, The Hundred House Hotel, GB-Norton, +44 1952 730353
0.91637, 52.05998, The Bell, GB-Kersey, +44 1473 823229
-2.98158, 52.23070, The Stagg Inn, GB-Titley, +44 1544 230221
0.27469, 51.27788, The Harrow Inn, GB-Igtham, +44 1732 885912
-0.85361, 52.87168, The Red Lion, GB-Stathern, +44 1949 861579
-2.85344, 54.31354, The Punch Bowl Inn, GB-Crosthwaite, +44 1539 568237
-1.04245, 51.96385, The White Hart, GB-Preston Bisset, +44 1280 847969
1.49903, 52.16871, The Crown Inn, GB-Snape, +44 1728 688324
-2.42230, 52.03639, The Feathers, GB-Ledbury, +44 1531 635266
-1.00551, 51.78612, The Mole and Chicken, GB-Easington, +44 1844 208387
-2.59204, 52.14240, The Three Crowns, GB-Bleak Acre, +44 1432 820279
-1.31849, 52.44273, The Bell Inn, GB-Monks Kirby, +44 1788 832352
-0.23049, 51.49432, The Stonemasons Arms, GB-Hammersmith, +44 20 8748 1397
-0.52984, 51.77893, The Alford Arms, GB-Frithsden, +44 1442 864480
-1.80798, 51.29488, The Antelope Inn, GB-Upavon, +44 1980 630206
-4.28303, 50.64323, The Arundell Arms, GB-Lifton, +44 1566 784666
-1.08595, 52.70038, The Gate Hangs Well, GB-Syston, +44 116 260 9242
-1.28501, 52.21307, The Holly Bush Inn, GB-Priors Marston, +44 1327 260934
0.07566, 52.03146, The Pheasant, GB-Great Chishill, +44 1763 838535
-1.14892, 51.57603, The Beetle and Wedge, GB-Moulsford, +44 1491 651381
-4.83625, 50.51657, The Swan Hotel, GB-Wadebridge, +44 1208 812526
0.66660, 52.96664, The White Horse, GB-Brancaster, +44 1485 210262
-3.59302, 50.55420, The Old Rydon Inn, GB-Kingsteignton, +44 1626 354626
-0.87499, 53.04050, The Pauncefote Arms, GB-East Stoke, +44 1636 525226
-3.65243, 50.26710, The Start Bay Inn, GB-Torncross, +44 1548 580553
-2.63424, 52.64054, Cholmondeley Riverside Inn, GB-Cressage, +44 1952 510900
-0.15355, 51.54126, The Landsdowne, GB-Regents Park, +44 20 7483 0409
-0.62812, 52.76233, The Blue Cow Inn, GB-South Witham, +44 1572 768432
-0.10719, 51.51418, Ye Olde Cheshire Cheese, GB-Fleet Street, +44 20 7353 6170
